id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
21108,3426,668,7,2,1,0,2024-06-11 04:01:11+00,,
21109,3424,125,18,7,1,0,2024-06-11 04:01:14+00,,
21110,3424,633,18,7,1,1,2024-06-11 04:01:23+00,,
21111,3425,80,14,,2,1,2024-06-11 04:01:24+00,,
21112,3424,139,18,7,2,0,2024-06-11 04:01:39+00,,
21113,3426,786,7,2,1,0,2024-06-11 04:01:45+00,,
21114,3424,639,18,7,1,0,2024-06-11 04:01:49+00,,
21115,3424,135,18,7,1,0,2024-06-11 04:01:58+00,,
21116,3426,118,7,2,1,0,2024-06-11 04:02:06+00,,
21117,3426,665,7,2,1,1,2024-06-11 04:02:09+00,,
21118,3426,690,7,2,2,0,2024-06-11 04:02:16+00,,
21119,3426,1565,7,2,1,0,2024-06-11 04:02:30+00,,
21120,3423,639,18,7,1,0,2024-06-11 04:03:23+00,,
21121,3423,633,18,7,1,0,2024-06-11 04:03:34+00,,
21122,3423,125,18,7,1,0,2024-06-11 04:03:42+00,,
21123,3424,1558,7,2,1,0,2024-06-11 04:03:45+00,,
21124,3423,135,18,7,1,0,2024-06-11 04:03:45+00,,
21125,3423,646,18,7,1,0,2024-06-11 04:03:51+00,,
21126,3424,665,7,2,1,1,2024-06-11 04:03:56+00,,
21127,3425,194,14,,3,1,2024-06-11 04:03:58+00,,
21128,3424,690,7,2,2,0,2024-06-11 04:03:59+00,,
21129,3424,793,7,2,1,0,2024-06-11 04:04:02+00,,
21130,3424,666,7,2,1,0,2024-06-11 04:04:05+00,,
21131,3421,1552,7,2,1,0,2024-06-11 04:04:45+00,,
21132,3421,665,7,2,1,1,2024-06-11 04:04:48+00,,
21133,3421,690,7,2,2,0,2024-06-11 04:04:51+00,,
21134,3421,793,7,2,1,0,2024-06-11 04:04:54+00,,
21135,3425,195,14,,4,0,2024-06-11 04:04:55+00,,
21136,3421,666,7,2,1,0,2024-06-11 04:04:57+00,,
21137,3433,772,17,,1,0,2024-06-11 04:05:14+00,,
21138,3433,760,17,,1,0,2024-06-11 04:05:16+00,,
21139,3425,196,14,,3,1,2024-06-11 04:05:17+00,,
21140,3433,761,17,,1,1,2024-06-11 04:05:18+00,,
21141,3433,492,17,,2,1,2024-06-11 04:05:20+00,,
21142,3433,303,17,,3,0,2024-06-11 04:05:23+00,,
21143,3432,652,18,7,1,0,2024-06-11 04:06:36+00,,
21144,3432,633,18,7,1,1,2024-06-11 04:06:45+00,,
21145,3432,139,18,7,2,0,2024-06-11 04:06:49+00,,
21146,3432,125,18,7,1,0,2024-06-11 04:06:55+00,,
21147,3432,639,18,7,1,0,2024-06-11 04:06:59+00,,
21148,3389,141,18,7,1,0,2024-06-11 04:39:52+00,,
21149,3389,633,18,7,1,1,2024-06-11 04:40:03+00,,
21150,3389,139,18,7,2,0,2024-06-11 04:40:06+00,,
21151,3389,125,18,7,1,0,2024-06-11 04:40:10+00,,
21152,3389,639,18,7,1,0,2024-06-11 04:40:13+00,,
21153,3389,135,18,7,1,1,2024-06-11 04:40:33+00,,
21154,3389,648,18,7,2,0,2024-06-11 04:40:45+00,,
21155,3389,646,18,7,1,1,2024-06-11 04:40:52+00,,
21156,3389,128,18,7,2,0,2024-06-11 04:41:02+00,,
21157,3389,647,18,7,1,1,2024-06-11 04:41:07+00,,
21158,3389,690,7,2,2,1,2024-06-11 04:41:48+00,,
21159,3389,792,7,2,3,0,2024-06-11 04:41:53+00,,
21160,3389,1556,7,2,2,1,2024-06-11 04:41:58+00,,
21161,3389,664,7,2,3,1,2024-06-11 04:42:03+00,,
21162,3389,1517,7,2,4,1,2024-06-11 04:42:08+00,,
21163,3389,1520,7,2,5,1,2024-06-11 04:42:22+00,,
21164,3389,1532,7,2,6,0,2024-06-11 04:42:25+00,,
21165,3389,1518,7,2,5,1,2024-06-11 04:42:32+00,,
21166,3389,1540,7,2,6,0,2024-06-11 04:42:36+00,,
21167,3389,691,7,2,5,0,2024-06-11 04:42:39+00,,
21168,3434,636,18,7,1,0,2024-06-11 04:52:24+00,,
21169,3434,633,18,7,1,1,2024-06-11 04:53:00+00,,
21170,3434,139,18,7,2,1,2024-06-11 04:53:44+00,,
21171,3434,634,18,7,3,1,2024-06-11 04:54:30+00,,
21172,3434,138,18,7,3,1,2024-06-11 04:55:49+00,,
21173,3434,1536,7,2,1,1,2024-06-11 04:57:20+00,,
21174,3434,690,7,2,2,1,2024-06-11 04:57:59+00,,
21175,3434,792,7,2,3,1,2024-06-11 04:59:04+00,,
21176,3434,1517,7,2,4,1,2024-06-11 04:59:47+00,,
21177,3434,1520,7,2,5,1,2024-06-11 05:00:19+00,,
21178,3342,138,18,7,3,0,2024-06-11 06:51:01+00,,
21179,3342,139,18,7,2,1,2024-06-11 06:58:31+00,,
21180,3342,137,18,7,3,0,2024-06-11 06:59:54+00,,
21181,3342,128,18,7,2,1,2024-06-11 07:00:35+00,,
21182,3342,130,18,7,3,-1,2024-06-11 07:00:44+00,,
21183,3342,123,18,7,3,0,2024-06-11 07:02:05+00,,
21184,3342,140,18,7,2,-1,2024-06-11 07:02:40+00,,
21185,3342,637,18,7,2,1,2024-06-11 07:02:59+00,,
21186,3342,122,18,7,3,-1,2024-06-11 07:03:40+00,,
21187,3342,136,18,7,3,1,2024-06-11 07:04:13+00,,
21188,3342,118,7,2,1,-1,2024-06-11 07:05:11+00,,
21189,3342,665,7,2,1,1,2024-06-11 07:06:54+00,,
21190,3342,690,7,2,2,1,2024-06-11 07:07:19+00,,
21191,3342,792,7,2,3,1,2024-06-11 07:08:52+00,,
21192,3342,1517,7,2,4,1,2024-06-11 07:12:14+00,,
21193,3342,1520,7,2,5,1,2024-06-11 07:14:23+00,,
21194,3342,1532,7,2,6,1,2024-06-11 07:15:52+00,,
21195,3342,667,7,2,7,1,2024-06-11 07:16:38+00,,
21196,3342,794,7,2,7,1,2024-06-11 07:17:56+00,,
21197,3342,798,7,2,7,1,2024-06-11 07:18:14+00,,
21198,2956,644,18,7,1,1,2024-06-11 09:08:27+00,,
21199,2956,139,18,7,2,1,2024-06-11 09:09:21+00,,
21200,2956,634,18,7,3,1,2024-06-11 09:10:05+00,,
21201,2956,138,18,7,3,1,2024-06-11 09:11:37+00,,
21202,2956,137,18,7,3,1,2024-06-11 09:12:38+00,,
21203,2956,130,18,7,3,1,2024-06-11 09:33:14+00,,
21204,2956,123,18,7,3,1,2024-06-11 09:33:46+00,,
21205,2956,122,18,7,3,1,2024-06-11 09:42:33+00,,
21206,2956,136,18,7,3,1,2024-06-11 09:44:02+00,,
21207,2956,635,18,7,3,1,2024-06-11 09:44:13+00,,
21208,2956,1566,7,2,1,0,2024-06-11 09:48:10+00,,
21209,2956,665,7,2,1,1,2024-06-11 09:48:43+00,,
21210,2956,690,7,2,2,0,2024-06-11 09:54:54+00,,
21211,2956,793,7,2,1,1,2024-06-11 09:55:50+00,,
