id,platformmaterialid,platformtopicid,platformsubtopicid
622,518,10,
624,519,10,
626,520,12,13
627,521,12,13
628,522,15,41
629,523,16,
631,524,16,
633,525,15,41
634,526,15,41
635,527,16,
637,528,16,
639,529,16,
641,530,22,
643,531,18,7
644,532,18,7
645,533,18,7
646,534,18,7
647,535,14,
649,536,14,
651,537,14,
653,538,14,
655,539,5,5
656,540,5,5
657,541,5,5
658,542,5,5
659,543,5,44
660,544,5,44
661,545,5,44
662,546,5,44
663,547,5,44
664,548,12,13
665,549,12,13
666,550,7,2
667,551,4,42
668,552,12,12
669,553,12,12
670,554,12,12
672,556,17,
674,557,17,
676,558,17,
678,559,17,
680,560,17,
682,561,7,1
683,562,7,1
684,563,7,1
685,564,7,1
686,565,7,1
687,566,7,1
688,567,25,
690,568,25,
692,569,25,
694,570,25,
696,571,25,
698,572,18,11
699,573,18,11
700,574,18,11
701,575,18,11
702,576,18,10
703,577,18,10
704,578,18,10
705,579,18,10
706,580,18,11
707,581,18,10
708,582,12,13
709,583,12,13
710,584,12,13
711,585,12,13
712,586,12,13
713,587,12,13
718,592,5,45
721,595,5,45
722,596,5,53
723,597,5,53
724,598,7,1
725,599,14,
727,600,18,9
728,601,18,9
729,602,18,9
733,605,18,9
735,607,26,
737,607,18,9
738,608,25,
740,609,25,
742,610,25,
744,611,25,
749,614,5,6
750,615,5,6
751,616,5,6
753,618,5,6
754,619,5,5
755,620,5,5
756,621,5,5
757,622,4,3
758,623,4,3
759,624,4,3
760,624,4,4
761,625,4,3
762,625,4,4
763,626,7,2
764,627,7,2
765,628,7,2
766,629,7,2
767,630,5,5
768,631,14,
770,632,14,
772,633,14,
774,634,14,
776,635,3,37
777,636,3,37
778,637,3,37
779,638,18,7
780,639,18,7
781,640,18,7
782,641,18,7
783,642,18,7
784,643,18,7
785,644,4,4
786,645,4,3
787,645,4,4
788,646,18,10
791,648,18,10
792,649,18,10
793,650,18,10
794,651,16,
796,652,16,
798,653,18,11
799,654,18,11
800,655,18,11
801,656,7,1
802,657,7,1
803,658,7,1
804,659,7,1
805,660,7,1
806,661,3,37
807,662,3,37
808,663,4,3
809,664,7,2
812,666,18,10
813,667,18,10
814,668,18,11
815,669,22,
840,671,22,
842,672,22,
844,673,22,
846,674,22,
848,676,18,10
849,677,25,
